"scenario","construct","hypothesis","power_bh","power_two_sided","power_gradient","power_global","est_sd","se_sd","gap_pp","n_resp"
"afford_17k","turnout","H1",0.97,0.92,1,0.995,0.178004430842674,0.0475596137371974,7.55908857509602,1953.84
"afford_17k","minor","H3",0.55,0.43,0.89,0.995,0.0836020350430671,0.0456085512220677,7.55908857509602,1953.84
"afford_17k","party_stigma","H2",0.54,0.435,0.92,0.995,-0.0879555084543611,0.0472906297674303,7.55908857509602,1953.84
"afford_17k","norms","H4",0.495,0.375,0.905,0.995,0.087735707087901,0.0469375662501569,7.55908857509602,1953.84
"afford_balanced","turnout","H1",0.975,0.96,1,1,0.175533149430178,0.0452742949994497,7.55603399644187,2015.185
"afford_balanced","party_stigma","H2",0.685,0.545,0.945,1,-0.0973731404337759,0.0448193881800039,7.55603399644187,2015.185
"afford_balanced","minor","H3",0.6,0.495,0.905,1,0.0899047381008442,0.0432320314634173,7.55603399644187,2015.185
"afford_balanced","norms","H4",0.585,0.47,0.875,1,0.087938242007992,0.0445876476902852,7.55603399644187,2015.185
